year,mineral,country,is_rare_earth,end_use,mine_production_tonnes,production_share_pct,reserves_tonnes,years_of_reserves,refined_share_pct,price_usd_per_tonne,demand_growth_pct,export_control_active,hhi,top_country_share_pct,supply_risk_score,high_supply_risk,disruption,disruption_next_year
2023,Cobalt,Indonesia,0,battery,12691.2,3.84,394816.0,31.1,3.07,39000.0,18.1,0,0.5125,71.32,43.0,0,0,0.0
2024,Cobalt,Indonesia,0,battery,14128.7,3.5,277585.0,19.6,2.8,31500.0,13.8,0,0.5104,69.76,40.9,0,0,0.0
2025,Cobalt,Indonesia,0,battery,16647.9,3.94,488368.0,29.3,3.15,30000.0,19.4,0,0.5212,74.39,37.0,0,0,0.0
2026,Cobalt,Indonesia,0,battery,18288.5,3.68,186192.0,10.2,2.94,31500.0,27.7,0,0.5199,71.06,43.4,0,0,
2015,Cobalt,Russia,0,battery,5740.7,4.98,284755.0,49.6,3.99,30000.0,15.3,0,0.4862,69.33,51.5,1,0,0.0
2016,Cobalt,Russia,0,battery,6682.3,4.84,382249.0,57.2,3.87,31500.0,19.4,0,0.4958,70.62,54.2,1,0,0.0
2017,Cobalt,Russia,0,battery,7390.0,4.82,430839.0,58.3,3.85,42000.0,17.4,0,0.4919,70.25,55.6,1,0,0.0
2018,Cobalt,Russia,0,battery,8858.8,5.03,462755.0,52.2,4.03,45000.0,30.4,0,0.4639,64.25,41.9,0,0,0.0
2019,Cobalt,Russia,0,battery,9438.7,4.81,112102.0,11.9,3.85,33000.0,27.3,0,0.4958,69.17,52.8,1,0,0.0
2020,Cobalt,Russia,0,battery,10428.1,4.64,108245.0,10.4,3.71,30000.0,23.5,0,0.5066,72.99,60.2,1,0,1.0
2021,Cobalt,Russia,0,battery,13273.2,4.92,522563.0,39.4,3.93,45000.0,18.9,0,0.5038,70.2,48.7,1,1,0.0
2022,Cobalt,Russia,0,battery,14203.2,4.87,650075.0,45.8,3.9,54000.0,17.7,0,0.5192,73.9,52.3,1,0,0.0
2023,Cobalt,Russia,0,battery,14527.7,4.4,171076.0,11.8,3.52,39000.0,23.9,0,0.5125,71.32,59.7,1,0,0.0
2024,Cobalt,Russia,0,battery,18462.6,4.58,672242.0,36.4,3.66,31500.0,25.2,0,0.5104,69.76,49.0,1,0,0.0
2025,Cobalt,Russia,0,battery,19604.7,4.64,292429.0,14.9,3.71,30000.0,15.6,0,0.5212,74.39,62.5,1,0,0.0
2026,Cobalt,Russia,0,battery,23038.7,4.63,742775.0,32.2,3.71,31500.0,19.8,0,0.5199,71.06,53.9,1,0,
2015,Copper,Australia,0,grid,1029381.7,5.61,14725334.0,14.3,4.49,6178.62,10.4,0,0.1686,31.61,18.3,0,0,0.0
2016,Copper,Australia,0,grid,1191567.2,5.92,10941482.0,9.2,4.74,6174.03,3.7,0,0.17,33.27,18.0,0,0,0.0
2017,Copper,Australia,0,grid,1300797.8,5.76,42038096.0,32.3,4.61,6475.42,6.0,0,0.1754,34.68,9.0,0,0,0.0
2018,Copper,Australia,0,grid,1307896.6,5.71,24009411.0,18.4,4.57,7102.68,7.1,0,0.1789,34.75,16.6,0,0,0.0
2019,Copper,Australia,0,grid,1458562.5,5.91,84143367.0,57.7,4.73,7285.12,0.5,0,0.1653,31.26,8.3,0,0,0.0
2020,Copper,Australia,0,grid,1410863.9,5.47,17781282.0,12.6,4.38,7110.35,11.6,0,0.1753,33.29,19.1,0,0,0.0
2021,Copper,Australia,0,grid,1575336.7,5.4,57320796.0,36.4,4.32,6792.67,7.0,0,0.168,31.5,7.9,0,0,0.0
2022,Copper,Australia,0,grid,1607304.5,5.52,26610144.0,16.6,4.42,7907.18,7.1,0,0.183,36.12,12.3,0,0,0.0
2023,Copper,Australia,0,grid,1723907.2,5.51,56983425.0,33.1,4.41,7966.67,3.6,0,0.1705,32.06,4.9,0,0,0.0
2024,Copper,Australia,0,grid,1945795.4,5.77,83252910.0,42.8,4.62,7367.89,5.8,0,0.1819,36.12,7.7,0,0,0.0
2025,Copper,Australia,0,grid,2131589.5,5.82,17469352.0,8.2,4.65,7351.69,3.1,0,0.1842,36.0,25.6,0,0,0.0
2026,Copper,Australia,0,grid,2285610.8,5.5,85082981.0,37.2,4.4,7610.1,2.4,0,0.1868,36.79,13.1,0,0,
2015,Copper,Chile,0,grid,5802335.0,31.61,105653961.0,18.2,25.29,6178.62,6.2,0,0.1686,31.61,14.6,0,0,0.0
2016,Copper,Chile,0,grid,6696551.9,33.27,164322571.0,24.5,26.62,6174.03,5.4,0,0.17,33.27,15.6,0,0,0.0
2017,Copper,Chile,0,grid,7824470.4,34.68,319362190.0,40.8,27.74,6475.42,3.0,0,0.1754,34.68,3.6,0,0,0.0
2018,Copper,Chile,0,grid,7954883.6,34.75,181024483.0,22.8,27.8,7102.68,6.0,0,0.1789,34.75,15.7,0,0,0.0
2019,Copper,Chile,0,grid,7712039.1,31.26,212789530.0,27.6,25.01,7285.12,12.7,0,0.1653,31.26,11.5,0,0,0.0
2020,Copper,Chile,0,grid,8583729.6,33.29,329755759.0,38.4,26.63,7110.35,5.0,0,0.1753,33.29,14.8,0,0,0.0
2021,Copper,Chile,0,grid,9189568.3,31.5,126297363.0,13.7,25.2,6792.67,7.8,0,0.168,31.5,9.5,0,0,0.0
2022,Copper,Chile,0,grid,10511485.5,36.12,624375184.0,59.4,28.9,7907.18,14.3,0,0.183,36.12,11.2,0,0,0.0
2023,Copper,Chile,0,grid,10032251.0,32.06,487147000.0,48.6,25.65,7966.67,5.1,0,0.1705,32.06,4.1,0,0,0.0
2024,Copper,Chile,0,grid,12171942.0,36.12,338372333.0,27.8,28.9,7367.89,8.9,0,0.1819,36.12,22.1,0,0,0.0
2025,Copper,Chile,0,grid,13194186.2,36.0,697170984.0,52.8,28.8,7351.69,5.8,0,0.1842,36.0,8.1,0,0,0.0
2026,Copper,Chile,0,grid,15287402.0,36.79,296195518.0,19.4,29.43,7610.1,7.0,0,0.1868,36.79,17.8,0,0,
2015,Copper,China,0,grid,1786774.0,9.73,86903446.0,48.6,14.6,6178.62,3.0,0,0.1686,31.61,26.5,0,0,0.0
2016,Copper,China,0,grid,2046689.5,10.17,55934557.0,27.3,15.25,6174.03,6.2,0,0.17,33.27,18.3,0,0,0.0
2017,Copper,China,0,grid,2189643.0,9.7,78048906.0,35.6,14.56,6475.42,4.0,0,0.1754,34.68,24.5,0,0,0.0
2018,Copper,China,0,grid,2183871.3,9.54,33878756.0,15.5,14.31,7102.68,5.3,0,0.1789,34.75,16.0,0,0,0.0
2019,Copper,China,0,grid,2366766.1,9.59,109604144.0,46.3,14.39,7285.12,5.6,0,0.1653,31.26,23.9,0,0,0.0
2020,Copper,China,0,grid,2643223.1,10.25,99559619.0,37.7,15.38,7110.35,2.3,0,0.1753,33.29,22.2,0,0,0.0
2021,Copper,China,0,grid,2894241.9,9.92,157662960.0,54.5,14.88,6792.67,6.2,0,0.168,31.5,12.8,0,0,0.0
2022,Copper,China,0,grid,2914127.0,10.01,26830394.0,9.2,15.02,7907.18,7.1,0,0.183,36.12,33.6,0,0,0.0
2023,Copper,China,0,grid,3137988.8,10.03,153720151.0,49.0,15.04,7966.67,6.7,0,0.1705,32.06,14.2,0,0,0.0
2024,Copper,China,0,grid,3255881.9,9.66,113267363.0,34.8,14.49,7367.89,10.8,0,0.1819,36.12,24.5,0,0,0.0
2025,Copper,China,0,grid,3528808.6,9.63,146183516.0,41.4,14.44,7351.69,9.0,0,0.1842,36.0,23.0,0,0,0.0
2026,Copper,China,0,grid,4263263.2,10.26,82674560.0,19.4,15.39,7610.1,7.5,0,0.1868,36.79,23.3,0,0,
2015,Copper,DRC,0,grid,2092337.1,11.4,102990185.0,49.2,9.12,6178.62,9.2,0,0.1686,31.61,25.0,0,0,0.0
2016,Copper,DRC,0,grid,2409852.6,11.97,35766771.0,14.8,9.58,6174.03,1.1,0,0.17,33.27,27.1,0,0,0.0
2017,Copper,DRC,0,grid,2658901.3,11.78,141289705.0,53.1,9.43,6475.42,2.5,0,0.1754,34.68,31.5,0,0,0.0
2018,Copper,DRC,0,grid,2717537.2,11.87,72578665.0,26.7,9.5,7102.68,10.7,0,0.1789,34.75,24.5,0,0,0.0
2019,Copper,DRC,0,grid,2982579.8,12.09,83420595.0,28.0,9.67,7285.12,8.8,0,0.1653,31.26,11.6,0,0,0.0
2020,Copper,DRC,0,grid,2835096.4,11.0,84330340.0,29.7,8.8,7110.35,12.2,0,0.1753,33.29,18.8,0,0,0.0
2021,Copper,DRC,0,grid,3394648.9,11.63,66703378.0,19.6,9.31,6792.67,8.2,0,0.168,31.5,24.7,0,0,0.0
2022,Copper,DRC,0,grid,3231214.2,11.1,31306760.0,9.7,8.88,7907.18,10.3,0,0.183,36.12,29.1,0,0,0.0
2023,Copper,DRC,0,grid,3336570.6,10.66,50818883.0,15.2,8.53,7966.67,8.6,0,0.1705,32.06,15.3,0,0,0.0
2024,Copper,DRC,0,grid,3824967.7,11.35,31561788.0,8.3,9.08,7367.89,1.9,0,0.1819,36.12,30.6,0,0,0.0
2025,Copper,DRC,0,grid,4222823.9,11.52,177917124.0,42.1,9.22,7351.69,5.8,0,0.1842,36.0,23.1,0,0,0.0
2026,Copper,DRC,0,grid,4600868.9,11.07,84328797.0,18.3,8.86,7610.1,9.7,0,0.1868,36.79,24.7,0,0,
2015,Copper,Indonesia,0,grid,1203429.0,6.56,15486449.0,12.9,5.24,6178.62,1.4,0,0.1686,31.61,18.4,0,0,0.0
2016,Copper,Indonesia,0,grid,1341343.2,6.66,21986135.0,16.4,5.33,6174.03,8.0,0,0.17,33.27,2.9,0,0,0.0
2017,Copper,Indonesia,0,grid,1589666.4,7.04,14609549.0,9.2,5.64,6475.42,7.8,0,0.1754,34.68,16.7,0,0,0.0
2018,Copper,Indonesia,0,grid,1477418.7,6.45,39337535.0,26.6,5.16,7102.68,6.6,0,0.1789,34.75,14.3,0,0,0.0
2019,Copper,Indonesia,0,grid,1669753.3,6.77,91525210.0,54.8,5.41,7285.12,6.1,0,0.1653,31.26,15.7,0,0,0.0
2020,Copper,Indonesia,0,grid,1751504.1,6.79,36043560.0,20.6,5.43,7110.35,3.2,0,0.1753,33.29,10.2,0,0,0.0
2021,Copper,Indonesia,0,grid,2061599.3,7.07,75174031.0,36.5,5.65,6792.67,6.6,0,0.168,31.5,22.1,0,0,0.0
2022,Copper,Indonesia,0,grid,1875770.8,6.45,59773572.0,31.9,5.16,7907.18,0.1,0,0.183,36.12,8.3,0,0,0.0
2023,Copper,Indonesia,0,grid,2224987.2,7.11,98740534.0,44.4,5.69,7966.67,3.4,0,0.1705,32.06,9.0,0,0,0.0
2024,Copper,Indonesia,0,grid,2258644.0,6.7,123534808.0,54.7,5.36,7367.89,9.2,0,0.1819,36.12,8.2,0,0,0.0
2025,Copper,Indonesia,0,grid,2440810.8,6.66,23797315.0,9.7,5.33,7351.69,4.8,0,0.1842,36.0,11.9,0,0,0.0
2026,Copper,Indonesia,0,grid,2906298.1,6.99,91492418.0,31.5,5.6,7610.1,4.2,0,0.1868,36.79,18.3,0,0,
2015,Copper,Peru,0,grid,2486858.9,13.55,69702340.0,28.0,10.84,6178.62,4.4,0,0.1686,31.61,13.5,0,0,0.0
2016,Copper,Peru,0,grid,2666544.6,13.25,137720443.0,51.6,10.6,6174.03,2.6,0,0.17,33.27,13.8,0,0,0.0
2017,Copper,Peru,0,grid,2944500.5,13.05,125538300.0,42.6,10.44,6475.42,3.6,0,0.1754,34.68,10.0,0,0,0.0
2018,Copper,Peru,0,grid,3109281.2,13.58,56133933.0,18.1,10.87,7102.68,7.6,0,0.1789,34.75,20.7,0,0,0.0
2019,Copper,Peru,0,grid,3332371.3,13.51,49099294.0,14.7,10.8,7285.12,6.3,0,0.1653,31.26,11.1,0,0,0.0
2020,Copper,Peru,0,grid,3281271.5,12.73,148061914.0,45.1,10.18,7110.35,3.5,0,0.1753,33.29,6.6,0,0,0.0
2021,Copper,Peru,0,grid,3721338.8,12.75,59864257.0,16.1,10.2,6792.67,1.8,0,0.168,31.5,15.6,0,0,0.0
2022,Copper,Peru,0,grid,3968006.2,13.64,164107658.0,41.4,10.91,7907.18,5.0,0,0.183,36.12,24.0,0,0,0.0
2023,Copper,Peru,0,grid,4157636.2,13.29,229413999.0,55.2,10.63,7966.67,5.4,0,0.1705,32.06,9.8,0,0,0.0
2024,Copper,Peru,0,grid,4454058.4,13.22,232865301.0,52.3,10.57,7367.89,-0.6,0,0.1819,36.12,17.2,0,0,0.0
2025,Copper,Peru,0,grid,4636709.6,12.65,108399655.0,23.4,10.12,7351.69,5.6,0,0.1842,36.0,16.4,0,0,0.0
2026,Copper,Peru,0,grid,5384232.1,12.96,177137854.0,32.9,10.37,7610.1,8.7,0,0.1868,36.79,11.8,0,0,
2015,Copper,Russia,0,grid,1039828.1,5.66,53856881.0,51.8,4.53,6178.62,3.6,0,0.1686,31.61,20.3,0,0,0.0
2016,Copper,Russia,0,grid,1221889.1,6.07,48728279.0,39.9,4.86,6174.03,3.4,0,0.17,33.27,24.9,0,0,0.0
2017,Copper,Russia,0,grid,1318263.3,5.84,60903291.0,46.2,4.67,6475.42,4.6,0,0.1754,34.68,20.4,0,0,0.0
2018,Copper,Russia,0,grid,1248598.7,5.45,59091803.0,47.3,4.36,7102.68,6.7,0,0.1789,34.75,18.7,0,0,0.0
2019,Copper,Russia,0,grid,1393355.5,5.65,77009190.0,55.3,4.52,7285.12,7.9,0,0.1653,31.26,15.4,0,0,0.0
2020,Copper,Russia,0,grid,1407717.5,5.46,70158536.0,49.8,4.37,7110.35,0.4,0,0.1753,33.29,25.3,0,0,0.0
2021,Copper,Russia,0,grid,1692503.7,5.8,100854781.0,59.6,4.64,6792.67,9.2,0,0.168,31.5,23.0,0,0,0.0
2022,Copper,Russia,0,grid,1605432.4,5.52,53385825.0,33.3,4.41,7907.18,11.4,0,0.183,36.12,20.5,0,0,0.0
2023,Copper,Russia,0,grid,1776208.2,5.68,25706979.0,14.5,4.54,7966.67,2.0,0,0.1705,32.06,36.6,0,0,0.0
2024,Copper,Russia,0,grid,1980645.9,5.88,67057902.0,33.9,4.7,7367.89,7.5,0,0.1819,36.12,14.2,0,0,0.0
2025,Copper,Russia,0,grid,2139781.4,5.84,30509811.0,14.3,4.67,7351.69,9.3,0,0.1842,36.0,24.4,0,0,0.0
2026,Copper,Russia,0,grid,2316571.4,5.58,77840371.0,33.6,4.46,7610.1,8.0,0,0.1868,36.79,30.5,0,0,
2015,Copper,USA,0,grid,1406884.1,7.66,53457424.0,38.0,6.13,6178.62,7.8,0,0.1686,31.61,14.4,0,0,0.0
2016,Copper,USA,0,grid,1630793.0,8.1,68272036.0,41.9,6.48,6174.03,5.2,0,0.17,33.27,10.0,0,0,0.0
2017,Copper,USA,0,grid,1824939.3,8.09,15082039.0,8.3,6.47,6475.42,4.2,0,0.1754,34.68,25.1,0,0,0.0
2018,Copper,USA,0,grid,1801718.3,7.87,46095287.0,25.6,6.3,7102.68,3.3,0,0.1789,34.75,10.7,0,0,0.0
2019,Copper,USA,0,grid,2037188.9,8.26,48582295.0,23.8,6.61,7285.12,2.8,0,0.1653,31.26,6.1,0,0,0.0
2020,Copper,USA,0,grid,1981492.7,7.68,52128092.0,26.3,6.15,7110.35,4.5,0,0.1753,33.29,11.1,0,0,0.0
2021,Copper,USA,0,grid,2243676.4,7.69,96929629.0,43.2,6.15,6792.67,4.4,0,0.168,31.5,17.6,0,0,0.0
2022,Copper,USA,0,grid,2404360.3,8.26,114914000.0,47.8,6.61,7907.18,4.6,0,0.183,36.12,9.4,0,0,0.0
2023,Copper,USA,0,grid,2299444.5,7.35,37183518.0,16.2,5.88,7966.67,6.3,0,0.1705,32.06,8.0,0,0,0.0
2024,Copper,USA,0,grid,2777181.1,8.24,95905369.0,34.5,6.59,7367.89,9.3,0,0.1819,36.12,13.4,0,0,0.0
2025,Copper,USA,0,grid,2708872.7,7.39,104588873.0,38.6,5.91,7351.69,0.9,0,0.1842,36.0,19.6,0,0,0.0
2026,Copper,USA,0,grid,3144219.0,7.57,130785926.0,41.6,6.05,7610.1,6.2,0,0.1868,36.79,13.8,0,0,
2015,Copper,Zambia,0,grid,1071225.8,5.84,39839685.0,37.2,4.67,6178.62,6.2,0,0.1686,31.61,7.7,0,0,0.0
2016,Copper,Zambia,0,grid,1196496.7,5.94,34418517.0,28.8,4.76,6174.03,1.8,0,0.17,33.27,6.9,0,0,0.0
2017,Copper,Zambia,0,grid,1364702.8,6.05,45414635.0,33.3,4.84,6475.42,7.2,0,0.1754,34.68,8.5,0,0,0.0
2018,Copper,Zambia,0,grid,1309859.0,5.72,43310661.0,33.1,4.58,7102.68,6.2,0,0.1789,34.75,10.8,0,0,0.0
2019,Copper,Zambia,0,grid,1398598.3,5.67,51252951.0,36.6,4.53,7285.12,8.9,0,0.1653,31.26,14.5,0,0,0.0
2020,Copper,Zambia,0,grid,1439986.2,5.58,51696571.0,35.9,4.47,7110.35,4.2,0,0.1753,33.29,14.7,0,0,0.0
2021,Copper,Zambia,0,grid,1619177.5,5.55,52319964.0,32.3,4.44,6792.67,6.0,0,0.168,31.5,3.0,0,0,0.0
2022,Copper,Zambia,0,grid,1671107.6,5.74,37381633.0,22.4,4.59,7907.18,5.5,0,0.183,36.12,19.2,0,0,0.0
2023,Copper,Zambia,0,grid,1798043.4,5.75,64808390.0,36.0,4.6,7966.67,9.9,0,0.1705,32.06,8.3,0,0,0.0
2024,Copper,Zambia,0,grid,1895139.9,5.62,77735193.0,41.0,4.5,7367.89,7.8,0,0.1819,36.12,10.7,0,0,0.0
2025,Copper,Zambia,0,grid,2002879.7,5.46,98579653.0,49.2,4.37,7351.69,5.8,0,0.1842,36.0,14.6,0,0,0.0
2026,Copper,Zambia,0,grid,2218414.9,5.34,125899596.0,56.8,4.27,7610.1,6.6,0,0.1868,36.79,16.2,0,0,
2015,Dysprosium,Australia,1,magnet,53.3,2.83,1072.0,20.1,2.26,300000.0,17.0,0,0.7398,80.99,61.5,1,0,0.0
2016,Dysprosium,Australia,1,magnet,59.5,3.24,807.0,13.6,2.59,270000.0,17.8,0,0.7489,86.06,74.0,1,0,0.0
2017,Dysprosium,Australia,1,magnet,58.5,2.96,583.0,10.0,2.37,330000.0,14.8,0,0.7376,80.51,62.1,1,0,0.0
2018,Dysprosium,Australia,1,magnet,68.1,2.95,841.0,12.3,2.36,360000.0,11.5,0,0.7529,89.43,73.5,1,0,0.0
2019,Dysprosium,Australia,1,magnet,73.7,3.21,1967.0,26.7,2.57,300000.0,6.1,0,0.7356,86.28,60.4,1,0,0.0
2020,Dysprosium,Australia,1,magnet,80.5,3.32,1131.0,14.0,2.66,330000.0,13.1,0,0.7286,86.75,72.6,1,0,1.0
2021,Dysprosium,Australia,1,magnet,90.4,3.5,2114.0,23.4,2.8,570000.0,12.8,0,0.7244,84.42,51.5,1,1,0.0
2022,Dysprosium,Australia,1,magnet,89.4,3.21,4469.0,50.0,2.57,630000.0,6.7,0,0.7387,90.11,62.7,1,0,0.0
2023,Dysprosium,Australia,1,magnet,102.2,3.4,5133.0,50.2,2.72,420000.0,9.2,0,0.7271,87.46,56.1,1,0,0.0
2024,Dysprosium,Australia,1,magnet,109.7,3.38,1408.0,12.8,2.71,360000.0,9.7,0,0.7292,88.5,57.9,1,0,0.0
2025,Dysprosium,Australia,1,magnet,125.8,3.47,3672.0,29.2,2.78,480000.0,10.3,0,0.7269,89.25,46.0,0,0,0.0
2026,Dysprosium,Australia,1,magnet,133.3,3.52,4636.0,34.8,2.82,540000.0,12.4,0,0.6942,80.22,58.5,1,0,
2015,Dysprosium,China,1,magnet,1525.4,80.99,24066.0,15.8,100.0,300000.0,12.2,0,0.7398,80.99,65.7,1,0,0.0
2016,Dysprosium,China,1,magnet,1581.4,86.06,27415.0,17.3,100.0,270000.0,22.6,0,0.7489,86.06,70.4,1,0,0.0
2017,Dysprosium,China,1,magnet,1591.7,80.51,47886.0,30.1,100.0,330000.0,15.6,0,0.7376,80.51,65.1,1,0,0.0
2018,Dysprosium,China,1,magnet,2062.5,89.43,113953.0,55.3,100.0,360000.0,14.6,0,0.7529,89.43,68.5,1,0,0.0
2019,Dysprosium,China,1,magnet,1977.3,86.28,64924.0,32.8,100.0,300000.0,11.0,0,0.7356,86.28,70.0,1,0,0.0
2020,Dysprosium,China,1,magnet,2103.7,86.75,51786.0,24.6,100.0,330000.0,14.8,0,0.7286,86.75,79.4,1,0,1.0
2021,Dysprosium,China,1,magnet,2177.6,84.42,27849.0,12.8,100.0,570000.0,13.9,0,0.7244,84.42,75.8,1,1,0.0
2022,Dysprosium,China,1,magnet,2508.1,90.11,133639.0,53.3,100.0,630000.0,15.8,0,0.7387,90.11,67.1,1,0,0.0
2023,Dysprosium,China,1,magnet,2630.3,87.46,43201.0,16.4,100.0,420000.0,8.9,0,0.7271,87.46,72.9,1,0,0.0
2024,Dysprosium,China,1,magnet,2870.6,88.5,53056.0,18.5,100.0,360000.0,8.4,0,0.7292,88.5,72.9,1,0,1.0
2025,Dysprosium,China,1,magnet,3233.7,89.25,126453.0,39.1,100.0,480000.0,18.6,1,0.7269,89.25,74.9,1,1,0.0
2026,Dysprosium,China,1,magnet,3036.6,80.22,47135.0,15.5,100.0,540000.0,16.1,1,0.6942,80.22,73.3,1,0,
2015,Dysprosium,Myanmar,1,magnet,170.5,9.05,2693.0,15.8,7.24,300000.0,11.2,0,0.7398,80.99,67.1,1,0,0.0
2016,Dysprosium,Myanmar,1,magnet,158.0,8.6,5815.0,36.8,6.88,270000.0,12.4,0,0.7489,86.06,68.5,1,0,0.0
2017,Dysprosium,Myanmar,1,magnet,172.6,8.73,2565.0,14.9,6.98,330000.0,8.0,0,0.7376,80.51,77.3,1,0,0.0
2018,Dysprosium,Myanmar,1,magnet,213.7,9.27,6501.0,30.4,7.41,360000.0,16.1,0,0.7529,89.43,68.1,1,0,0.0
2019,Dysprosium,Myanmar,1,magnet,225.6,9.84,11605.0,51.4,7.88,300000.0,9.6,0,0.7356,86.28,75.9,1,0,0.0
2020,Dysprosium,Myanmar,1,magnet,247.7,10.21,2102.0,8.5,8.17,330000.0,15.0,0,0.7286,86.75,71.8,1,0,1.0
2021,Dysprosium,Myanmar,1,magnet,252.3,9.78,11694.0,46.3,7.82,570000.0,11.9,0,0.7244,84.42,65.6,1,1,0.0
2022,Dysprosium,Myanmar,1,magnet,283.8,10.2,4511.0,15.9,8.16,630000.0,16.4,0,0.7387,90.11,67.8,1,0,0.0
2023,Dysprosium,Myanmar,1,magnet,311.0,10.34,12450.0,40.0,8.27,420000.0,9.9,0,0.7271,87.46,69.0,1,0,0.0
2024,Dysprosium,Myanmar,1,magnet,330.3,10.18,13706.0,41.5,8.15,360000.0,10.0,0,0.7292,88.5,62.7,1,0,0.0
2025,Dysprosium,Myanmar,1,magnet,377.2,10.41,3289.0,8.7,8.33,480000.0,15.1,0,0.7269,89.25,75.5,1,0,0.0
2026,Dysprosium,Myanmar,1,magnet,429.2,11.34,23824.0,55.5,9.07,540000.0,11.9,0,0.6942,80.22,63.8,1,0,
2015,Dysprosium,Russia,1,magnet,36.9,1.96,2138.0,57.9,1.57,300000.0,11.9,0,0.7398,80.99,63.5,1,0,0.0
2016,Dysprosium,Russia,1,magnet,39.4,2.14,1440.0,36.6,1.71,270000.0,4.7,0,0.7489,86.06,71.1,1,0,0.0
2017,Dysprosium,Russia,1,magnet,43.3,2.19,975.0,22.5,1.75,330000.0,9.9,0,0.7376,80.51,70.9,1,0,0.0
2018,Dysprosium,Russia,1,magnet,47.4,2.05,1085.0,22.9,1.64,360000.0,17.7,0,0.7529,89.43,77.7,1,0,0.0
2019,Dysprosium,Russia,1,magnet,46.2,2.02,1444.0,31.2,1.61,300000.0,12.1,0,0.7356,86.28,62.2,1,0,0.0
2020,Dysprosium,Russia,1,magnet,52.5,2.16,638.0,12.2,1.73,330000.0,8.5,0,0.7286,86.75,75.1,1,0,1.0
2021,Dysprosium,Russia,1,magnet,58.7,2.27,3083.0,52.5,1.82,570000.0,13.1,0,0.7244,84.42,67.3,1,1,0.0
2022,Dysprosium,Russia,1,magnet,58.0,2.09,1832.0,31.6,1.67,630000.0,14.6,0,0.7387,90.11,71.3,1,0,0.0
2023,Dysprosium,Russia,1,magnet,65.8,2.19,1142.0,17.3,1.75,420000.0,1.8,0,0.7271,87.46,69.9,1,0,0.0
2024,Dysprosium,Russia,1,magnet,76.8,2.37,3776.0,49.2,1.89,360000.0,3.5,0,0.7292,88.5,65.5,1,0,0.0
2025,Dysprosium,Russia,1,magnet,86.3,2.38,4466.0,51.8,1.91,480000.0,8.3,0,0.7269,89.25,68.9,1,0,0.0
2026,Dysprosium,Russia,1,magnet,86.8,2.29,1042.0,12.0,1.83,540000.0,17.3,0,0.6942,80.22,71.1,1,0,
2015,Gallium,China,0,semiconductor,437.2,91.13,7777.0,17.8,100.0,291946.68,13.9,0,0.8971,91.13,82.8,1,0,0.0
2016,Gallium,China,0,semiconductor,445.6,88.38,4560.0,10.2,100.0,289721.12,6.8,0,0.8989,88.38,80.7,1,0,0.0
2017,Gallium,China,0,semiconductor,473.0,90.65,10425.0,22.0,100.0,287840.73,5.3,0,0.9025,90.65,74.1,1,0,0.0
2018,Gallium,China,0,semiconductor,534.8,99.49,17394.0,32.5,100.0,359039.16,14.2,0,0.9059,99.49,71.7,1,0,0.0
2019,Gallium,China,0,semiconductor,547.3,97.32,31521.0,57.6,100.0,325572.98,14.3,0,0.9078,97.32,79.8,1,0,0.0
2020,Gallium,China,0,semiconductor,533.5,91.3,28764.0,53.9,100.0,322041.01,8.6,0,0.8993,91.3,73.2,1,0,0.0
2021,Gallium,China,0,semiconductor,577.3,94.88,10301.0,17.8,100.0,330442.14,3.3,0,0.9013,94.88,87.7,1,0,0.0
2022,Gallium,China,0,semiconductor,636.3,100.11,29426.0,46.2,100.0,395716.17,15.1,0,0.9078,100.11,77.1,1,0,1.0
2023,Gallium,China,0,semiconductor,628.3,99.62,11727.0,18.7,100.0,370286.96,11.4,1,0.9053,99.62,98.4,1,1,0.0
2024,Gallium,China,0,semiconductor,652.1,100.0,18989.0,29.1,100.0,391184.96,14.4,1,0.9101,100.0,96.8,1,0,0.0
2025,Gallium,China,0,semiconductor,637.1,95.67,12909.0,20.3,100.0,426751.97,14.1,1,0.9026,95.67,98.0,1,0,0.0
2026,Gallium,China,0,semiconductor,662.2,89.61,29597.0,44.7,100.0,414497.15,9.3,1,0.8998,89.61,100.0,1,0,
2015,Gallium,Japan,0,semiconductor,10.0,2.08,322.0,32.3,1.66,291946.68,9.2,0,0.8971,91.13,74.6,1,0,0.0
2016,Gallium,Japan,0,semiconductor,10.0,1.99,209.0,20.9,1.59,289721.12,12.7,0,0.8989,88.38,79.5,1,0,0.0
2017,Gallium,Japan,0,semiconductor,9.9,1.9,485.0,48.8,1.52,287840.73,6.9,0,0.9025,90.65,68.1,1,0,0.0
2018,Gallium,Japan,0,semiconductor,11.1,2.07,102.0,9.2,1.66,359039.16,5.2,0,0.9059,99.49,72.4,1,0,0.0
2019,Gallium,Japan,0,semiconductor,10.8,1.92,447.0,41.4,1.54,325572.98,10.5,0,0.9078,97.32,76.2,1,0,0.0
2020,Gallium,Japan,0,semiconductor,12.4,2.13,182.0,14.6,1.7,322041.01,13.2,0,0.8993,91.3,77.6,1,0,0.0
2021,Gallium,Japan,0,semiconductor,12.7,2.08,157.0,12.4,1.67,330442.14,10.0,0,0.9013,94.88,82.4,1,0,0.0
2022,Gallium,Japan,0,semiconductor,13.1,2.07,553.0,42.1,1.65,395716.17,8.4,0,0.9078,100.11,65.4,1,0,0.0
